Census Tract,Total Population,California County,Longitude,Latitude,Asthma_Pctl
6065042511,3308,Riverside ,-117.2480601,33.919149,82.21
6071001305,5348,San Bernardino,-117.62795,34.0845072,75.94
6065040203,3626,Riverside ,-117.4071313,33.9943219,64.08
6065042512,3200,Riverside ,-117.2567772,33.9191537,82.21
6071001002,5530,San Bernardino,-117.6754429,34.0687514,51.45
6065042506,9483,Riverside ,-117.270282,33.9329093,81.96
6071000207,4635,San Bernardino,-117.7067071,34.0703739,81.87
6065041002,3312,Riverside ,-117.4726482,33.9516995,51.81
6065031401,6702,Riverside ,-117.4081832,33.9380023,72.51
6071001312,4645,San Bernardino,-117.6056182,34.0740868,77.26
6065042515,3803,Riverside ,-117.2406622,33.9354567,76.67
6071003609,4871,San Bernardino,-117.3768768,34.0768408,72.43
6065030101,1226,Riverside ,-117.3520326,33.9971131,69.6
6065042800,9260,Riverside ,-117.2305725,33.7831506,58.37
6071003505,5969,San Bernardino,-117.375879,34.1195504,87.41
6065041703,5695,Riverside ,-117.5888049,33.8785015,33.79
6071009300,1257,San Bernardino,-117.0327115,34.9077413,99.95
6071001702,4827,San Bernardino,-117.6753207,34.0448163,74.49
6071001706,6231,San Bernardino,-117.6611549,34.0526197,77.88
6065040503,3876,Riverside ,-117.5161423,34.0222888,24.76
6071003102,5466,San Bernardino,-117.4400681,34.0848456,81.65
6065041408,4017,Riverside ,-117.4691482,33.9042171,50.59
6071004301,4677,San Bernardino,-117.3460354,34.111535,86.2
6071006302,8815,San Bernardino,-117.2541147,34.1268693,94.75
6065042513,3379,Riverside ,-117.2569855,33.9345424,82.21
6071006700,4486,San Bernardino,-117.3219438,34.083291,90.86
6065040402,4224,Riverside ,-117.4868554,33.9745825,59.94
6071003200,8005,San Bernardino,-117.4269916,34.084891,77.91
6071002502,8051,San Bernardino,-117.462458,34.077528,81.65
6071007109,6064,San Bernardino,-117.3072899,34.042144,61.31
6071004001,4763,San Bernardino,-117.4033115,34.0557926,52.92
6071002301,9721,San Bernardino,-117.4426859,34.1251086,44.42
6065940400,6504,Riverside ,-116.182178,33.7018202,55.83
6071002206,6656,San Bernardino,-117.586378,34.0245953,58.47
6071003506,4802,San Bernardino,-117.3778897,34.1293784,87.41
6071005200,4141,San Bernardino,-117.2817187,34.1445254,95.66
6071006402,4951,San Bernardino,-117.2523402,34.1157592,96.76
6071003302,6037,San Bernardino,-117.4226926,34.0726027,43.02
6065031704,5284,Riverside ,-117.4211712,33.9186451,62.52
6065043401,5791,Riverside ,-116.9695083,33.7475602,89.93
6065042405,4997,Riverside ,-117.2526709,33.9438284,61.95
6071006203,4771,San Bernardino,-117.2514331,34.1456763,96.33
6071008002,7256,San Bernardino,-117.1852589,34.0663497,52.05
6065042516,4177,Riverside ,-117.2393879,33.9227363,82.21
6071001103,3997,San Bernardino,-117.6561451,34.0789551,77.88
6071003000,3120,San Bernardino,-117.4357865,34.0993753,81.65
6065042514,3165,Riverside ,-117.2481693,33.9336217,82.21
6065030900,3308,Riverside ,-117.4411265,33.9577091,75.1
6071007110,4831,San Bernardino,-117.2886811,34.0569257,85.77
6071004510,5178,San Bernardino,-117.3194653,34.1853082,86.8
6071003510,4512,San Bernardino,-117.392199,34.0995052,86.66
6071001810,4497,San Bernardino,-117.6440311,34.0339115,44.63
6071003700,3903,San Bernardino,-117.3703725,34.0995419,87.41
6065041813,6698,Riverside ,-117.5533296,33.8666786,46.7
6065041412,4415,Riverside ,-117.5057387,33.8857174,42.08
6071003503,5489,San Bernardino,-117.3923222,34.1250104,87.18
6065045604,13694,Riverside ,-115.9293426,33.511964,24.11
6071007601,7277,San Bernardino,-117.234947,34.1140263,80.58
6071000205,4736,San Bernardino,-117.6870214,34.0801578,74.3
6065041500,2053,Riverside ,-117.5993419,33.892232,18.14
6065041201,4299,Riverside ,-117.4621002,33.923878,47.82
6065041409,14898,Riverside ,-117.4758226,33.8649931,54.16
6071003606,5109,San Bernardino,-117.396582,34.0730055,56.99
